Bee Balm, Monarda fistulosa	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Baby blue eyes, Nemophila menziessi	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Dotted horsemint, Monarda punctata	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Lanceleaf coreopsis, Coreopsis lanceolata	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Bigleaf lupine, Lupinus polyphyllus	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Wild indigo, Baptisia tinctoria	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Golden Alexanders, Zizia aurea	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Wild geranium, Geranium maculatum	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
American vetch, Vicia americana	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Butterfly milkweed, Asclepias tuberosa	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Antelope horns milkweed, Asclepias asperula ssp. capricornu	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Alba 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Cali 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Flori 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Great 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Mari 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Mid 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
MidW 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
NorthE 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
NorthP 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
SouthE 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
SouthP 2	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Alba 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Cali 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Flori 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Great 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Mari 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
Mid 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
MidW 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
NorthE 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
NorthP 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
SouthE 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
SouthP 3	Purple-pink tubular flowers attract bees, butterflies, hummingbirds, and hawk moths. Needs partial shade at lower elevations. 
